text;animation;comment;next;previous;source_dlg;audiofile
I was told that you're a friend of Jolee Bindo... and that Jolee has returned to the sector. Please, I must speak to him. It's very urgent!;[{'Elora': 'Talk_Pleading'}]; if jolee is not in the party, first time talked to;[29, 35, 36];[None];man26_elora;NM26AAELOR04000_.mp3
Who are you?;[];;[30];[28];man26_elora;
My name is Elora. My husband Sunry and Jolee are old friends. Now Sunry needs Jolee's help.;[];;[31, 33];[29, 35];man26_elora;NM26AAELOR04002_.mp3
I shall tell Jolee immediately.;[];;[32];[30];man26_elora;
Please, I beg you to bring Jolee to speak to me about my husband. Sunry's life depends on it!;[{'Elora': 'Talk_Pleading'}]; if jolee is not in party, subsequent conversations;[];[31, 34, 36];man26_elora;NM26AAELOR04008_.mp3
Maybe I can help your husband.;[];;[34];[30];man26_elora;
Someone is out to destroy my husband. I... I don't know who I can trust. I don't know you. But Jolee - he was always a true friend to Sunry.;[];;[32];[33];man26_elora;NM26AAELOR04005_.mp3
Why do you need to speak to Jolee?;[];;[30];[28];man26_elora;
I don't have time for this.;[];;[32];[28];man26_elora;
Jolee! It *is* you! I... need your help.;[]; jolee is in party, first time conversation with him in party;[38];[None];man26_elora;NM26AAELOR04009_.mp3
Elora? Of all the people... How did you even know I'd left Kashyyyk?;[];;[39];[37];man26_elora;NM26AAELOR04010_.mp3
I didn't. Nobody knew where you were, not even Sunry! But I heard the Selkath mention you and your friends. The Force has brought you to help us!;[];;[40];[38];man26_elora;NM26AAELOR04011_.mp3
Why? Whatever could be the matter, my dear?;[];;[41];[39];man26_elora;NM26AAELOR04012_.mp3
It's horrible, Jolee! Sunry has been arrested! The Sith have accused him of murder!;[];;[42];[40];man26_elora;NM26AAELOR04013_.mp3
Murder? But how...;[];;[43];[41];man26_elora;NM26AAELOR04014_.mp3
It's all a mistake, Jolee! Sunry isn't a murderer - someone is trying to frame him.;[];;[44];[42];man26_elora;NM26AAELOR04015_.mp3
Calm down, Elora. Where's Sunry now?;[];;[45];[43];man26_elora;NM26AAELOR04016_.mp3
Sunry's being held at the Selkath courts. They won't let anyone in to see him. Please, go to the courts, talk to the Judges. Maybe the Selkath will listen to you.;[{'Elora': 'Talk_Pleading'}]; subsequent conversations with jolee in the party, player not appointed arbiter;[46];[44];man26_elora;NM26AAELOR04047_.mp3
Don't worry, Elora. We'll get to the bottom of this and help Sunry... somehow.;[];;[];[45];man26_elora;NM26AAELOR04048_.mp3
I hear you have been appointed as Arbiter in Sunry's trial. My husband is innocent - please don't let him go to jail for a crime he didn't commit!;[{'Elora': 'Talk_Pleading'}]; player appointed as arbiter;[48, 54, 56, 59, 74, 75];[None];man26_elora;NM26AAELOR04017_.mp3
Can you tell me anything about Sunry?;[];;[49];[47];man26_elora;
Sunry is... he's a cripple. There's no way he could have overpowered this Sith woman like they claim.;[];;[50, 53];[48];man26_elora;NM26AAELOR04019_.mp3
That's true... I'd forgotten about that. Let's not forget that he would have had to have been considerably older than the Sith woman.;[];;[51];[49];man26_elora;NM26AAELOR04020_.mp3
Are you saying someone your age couldn't overpower a woman?;[];;[52];[50];man26_elora;
Hmph. I'm a Jedi... and one who was living alone in the Shadowlands until recently. That keeps you in shape, damn it! We're talking about Sunry, here.;[];;[53];[51];man26_elora;NM26AAELOR04022_.mp3
And there's no way he would do something so dishonorable as hit her from behind. Sunry's a decorated war hero! He's a hero of the Republic!;[];;[54, 56];[52, 49];man26_elora;NM26AAELOR04023_.mp3
Don't worry, Elora. I'll save him.;[];;[55];[53, 68, 66, 76, 47];man26_elora;
Find the real evidence, that's all I ask. The real evidence will prove Sunry didn't do this.;[];;[];[54, 58, 57];man26_elora;NM26AAELOR04043_.mp3
Your husband might not be so innocent, Elora.;[];;[57];[53, 68, 66, 76, 47];man26_elora;
This is all a plot to discredit the Republic! Sunry is a victim of a Sith frame up!;[];;[55, 58];[56];man26_elora;NM26AAELOR04045_.mp3
It's possible. I haven't seen Sunry since I crashed on Kashyyyk... a man can change a lot in that time. The man I knew could never have done this crime, however.;[];;[55];[57];man26_elora;NM26AAELOR04046_.mp3
[Persuade] Was Sunry having an affair?;[];;[60, 70];[47];man26_elora;
[Success] Of... of course not! He... he... *sob*;[];;[61];[59];man26_elora;NM26AAELOR04025_.mp3
Yes... *sob* ...yes, he was having an affair. He was seeing that... that Sith woman.;[{'Elora': 'Horror'}];;[62];[60, 71, 72];man26_elora;NM26AAELOR04026_.mp3
After all these years we've been together he just... just dropped me like that. Not publicly, oh no, but inside that's what it feels like.;[];;[63];[61];man26_elora;NM26AAELOR04027_.mp3
He started seeing Elassa last year. I... I had my suspicions for a while, but he was careless. Pretty soon everyone knew.;[];;[64];[62, 74];man26_elora;NM26AAELOR04028_.mp3
But... but... even though I'm sure that harlot was only using him, I know he couldn't have killed her. He came and confessed to the affair to me. He said he was going there to break it off - to end it.;[];;[65];[63];man26_elora;NM26AAELOR04029_.mp3
Maybe the Sith woman attacked him and he had to defend himself?;[];;[66];[64];man26_elora;NM26AAELOR04030_.mp3
But even though he cheated on me, inside he's still the man I loved... love... He is too kind and gentle to have killed her in cold blood.;[];;[54, 56, 67, 69];[65];man26_elora;NM26AAELOR04031_.mp3
He is a soldier, though.;[];;[68];[66];man26_elora;
That was a long time ago, in a war far, far away. He's changed now... settled down. Just please, prove his innocence.;[];;[54, 56];[67, 69];man26_elora;NM26AAELOR04033_.mp3
He has killed many Sith before.;[];;[68];[66];man26_elora;
[Failure] What?? Don't insult us both! Sunry is... Sunry is a just and honorable man. How dare you accuse him... us, of such a thing!;[];;[71, 72, 73];[59];man26_elora;NM26AAELOR04035_.mp3
Now, now, Elora. We're not here to pass judgment, my dear. We do need to know everything if we're to help, yes?;[];;[61];[70];man26_elora;NM26AAELOR04036_.mp3
Madam. I would remind you that I am a Jedi. Now, then... was he having an affair?;[];;[61];[70];man26_elora;NM26AAELOR04037_.mp3
Find proof to set him free instead of bringing these baseless accusations against us.;[];;[];[70];man26_elora;NM26AAELOR04038_.mp3
Tell me about Sunry and Elassa.;[];;[63];[47];man26_elora;
I have this recording showing Sunry killing Elassa.;[];;[76];[47];man26_elora;
Lies! It... it must be! I knew the Sith would never let a Republic hero get away... You must find Sunry innocent!;[];;[54, 56];[75];man26_elora;NM26AAELOR04041_.mp3
A horrible fate for poor Hendar... I warned him not to leave the safety of the village.;[];first time talked to and Hendar dead Dialog Mission Statement: Usually the gate guard will open the gate whenever the player wants to enter or leave the village, this is done through dialog. After 2 rounds he will automatically close the gate. The first time the player approaches the gate from the interior of the village a conversation between the gatekeeper (OutcastMan045) and Hesther (OutcastWom043) will ensue as Hendar (OutcastMan046) runs for the gate with a Rakghoul in pursuit. The player can offer to help Hendar and the gatekeeper will open the gate, or he can simply sit and watch as hendar is killed (4 rounds after Hendar reaches the gate if the player does not intervene, or instantly if the player refuses to open the gate). If the player saves Hendar, he and Hesther thank the player and wander off. If Hendar dies, Hesther wanders off and reviles the player. Exit points in conversation: Exit stream 1: If the player approaches the guard for the first time and is outside the gates this will mark the guard as talked to and open the gates then close them after 2 rounds. Exit stream 2: Player has promised to save Hendar, guard opens gate. Player has 4 rounds to go through the gate or Rakghoul kills Hendar then runs off. Exit stream 3: If player talks to guard while Hendar is being attacked and chooses to let him die. Depending on the path the player can get a dark side hit. Exit stream 4: If player asks guard to open gate. Gate is opened then closed after 6 seconds. Exit stream 5: Player just says goodbye. Nothing happens.;[78];[None];tar04_outman045;NM04AAOUTM18000_.mp3
But I couldn't open the gate... not while the rakghouls were so close. I had to protect the village.;[];;[79];[77];tar04_outman045;NM04AAOUTM18001_.mp3
But enough of this grim talk... we must focus on the positive if we are to survive down here. How can I help you, up-worlder?;[];;[80, 82, 84, 86];[78];tar04_outman045;NM04AAOUTM18002_.mp3
Open the gate for me.;[];;[81];[79, 83, 85, 89, 100];tar04_outman045;
I will open the gate for you, up-worlder, but you've got to be quick. In a few seconds I must close and lock it again for the safety of the village.;[];;[];[80, 95];tar04_outman045;NM04AAOUTM18011_.mp3
Who are you?;[];;[83];[79, 85, 89, 100];tar04_outman045;
I am Trewin, from the Outcast village. It's my job to guard the gates and see they are locked to protect us from the rakghouls.;[];;[80, 84, 86];[82];tar04_outman045;NM04AAOUTM18019_.mp3
I want to ask you some questions.;[];;[85];[83, 79, 89, 100];tar04_outman045;
Heh. I just guard the gates. Gendar is the leader of the village, up-worlder. You should speak to him if you have any questions.;[];;[80, 82, 86];[84];tar04_outman045;NM04AAOUTM18021_.mp3
Goodbye.;[];;[87];[85, 83, 79, 89, 100];tar04_outman045;
Goodbye, up-worlder.;[];;[];[86];tar04_outman045;NM04AAOUTM18023_.mp3
Thank you for saving Hendar. You are braver than I, up-worlder. Maybe we Outcasts have lived too long in selfish fear.;[];first time talked to since Hendar lived;[89];[None];tar04_outman045;NM04AAOUTM18003_.mp3
Perhaps we can learn a lesson from your brave actions. Hmph. But enough of my ramblings... is there something you need, up-worlder?;[];;[80, 82, 84, 86];[88];tar04_outman045;NM04AAOUTM18004_.mp3
You're not from the village. In fact, you look like you're from the up-world!;[];first time spoken to, player on far side of gate;[91];[None];tar04_outman045;NM04AAOUTM18005_.mp3
I don't know why you'd come down here to our village, but I guess I can let you in. There don't seem to be any rakghouls nearby.;[];;[92];[90];tar04_outman045;NM04AAOUTM18006_.mp3
Hurry, up-worlder. I can only leave the gate open for a few seconds. I can't risk letting the rakghouls in!;[];;[];[91];tar04_outman045;NM04AAOUTM18007_.mp3
I can't open the gate... not while the rakghouls are so near.;[];;[94, 96, 98];[None];tar04_outman045;NM04AAOUTM18008_.mp3
Open the gate... I will kill the rakghouls.;[];;[95];[93];tar04_outman045;
You would risk your life for a stranger? You are brave... or foolish.;[];;[81];[94];tar04_outman045;NM04AAOUTM18010_.mp3
You're right, it's too dangerous. Leave the gate closed.;[];;[97];[93];tar04_outman045;
*Sigh* A horrible fate for poor Hendar. I warned him not to leave the safety of the village.;[];;[];[96, 98];tar04_outman045;NM04AAOUTM18013_.mp3
Keep the gate closed. I'm not risking my life here.;[];;[97];[93];tar04_outman045;
The gate is open. If you're going through you have to hurry, up-worlder, before I have to close it again.;[];gate is open;[];[None];tar04_outman045;NM04AAOUTM18015_.mp3
Yes, up-worlder? Is there something you need?;[];;[80, 82, 84, 86];[None];tar04_outman045;NM04AAOUTM18016_.mp3
So do we have a deal?;[]; scripted encounter when player first approaches the recruiter;[102];[None];man26_repneg;NM26AAREPN12000_.mp3
That's an awful lot of money... is there something you're not telling me?;[];;[103];[101];man26_repneg;NM26AAREPN12001_.mp3
Don't be so suspicious. The Republic is generous, we pay our mercenaries well.;[];;[104];[102];man26_repneg;NM26AAREPN12002_.mp3
Makes sense, I guess. Alright, I'm in. When do I start?;[];;[105];[103];man26_repneg;NM26AAREPN12003_.mp3
Just show up at the Republic Embassy tomorrow and speak to our Representative there. I'm sure he'll have some task he wants you to start on right away.;[]; mercenary leaves;[];[104];man26_repneg;NM26AAREPN12004_.mp3
Do you mind? I'm in the middle of a Republic recruiting drive right now. I need to hire these mercenaries before they sign up with the Sith.;[]; subsequent conversations;[107, 109, 113];[None];man26_repneg;NM26AAREPN12005_.mp3
Why are you hiring mercenaries?;[];;[108];[106];man26_repneg;
In case you hadn't noticed, there's a war on. If we don't hire these mercs, the Sith will. Now excuse me, I have to continue my recruitments.;[];;[];[107];man26_repneg;NM26AAREPN12007_.mp3
Maybe you could hire me?;[];;[110];[106];man26_repneg;
I don't know if you've got what we're looking for... Jedi aren't generally suited to mercenary work. If you want, talk to Roland Wann at the Republic Embassy and see if he can find anything for you.;[];;[111];[109];man26_repneg;NM26AAREPN12009_.mp3
It's north of here, then east past the first courtyard. It's just off the north end of the second courtyard. You can't miss it.;[];;[112];[110];man26_repneg;NM26AAREPN12010_.mp3
Now if you'll excuse me, I have to continue my recruitments.;[];;[];[111];man26_repneg;NM26AAREPN12011_.mp3
I'll be going now.;[];;[114];[106];man26_repneg;
Good. The longer I spend talking to you, the less time I have to talk to the mercs.;[];;[];[113];man26_repneg;NM26AAREPN12013_.mp3
The second tomb on the left within the valley is the tomb of Naga Sadow. It is off-limits to all students, unless they are in the company of Master Uthar.;[];if selected by the player, player is part of the Sith;[];[None];kor36_sithguard;NM36AASITH07000_.mp3
Beware of the tuk'ata. They are a pack beast that have their nests in one of the tombs. We fight them off as best we can.;[];;[];[None];kor36_sithguard;NM36AASITH07001_.mp3
There is an old Sith hermit that has been haunting this area, we understand. Watch out for him.;[];;[];[None];kor36_sithguard;NM36AASITH07002_.mp3
A dangerous assassin droid has barricaded itself within the tomb of Marka Ragnos, the first one on the left. Be wary.;[];;[];[None];kor36_sithguard;NM36AASITH07003_.mp3
Watch out for the tuk'ata. They will charge you on sight. Run back to the excavation area and we can protect you.;[];;[];[None];kor36_sithguard;NM36AASITH07004_.mp3
Any artifacts found should be brought to the attention of Master Uthar immediately.;[];;[];[None];kor36_sithguard;NM36AASITH07005_.mp3
I am not here to get you out of trouble if you do something stupid, student. Enter the tombs at your own risk.;[];;[];[None];kor36_sithguard;NM36AASITH07006_.mp3
I will stay here in this chamber and use my Battle Meditation to aid the Republic fleet. I am their only hope of destroying the Star Forge and ending the Sith menace.;[];After converted, but Malak not dead and player speaks to her;[123];[None, 196, 198];k_sta_bastila;NM45AABAST01114_.mp3
You must go and face Malak, but you have to hurry. Once I turn the battle in the Republic's favor we won't have much time to escape the Star Forge before it is destroyed.;[];;[124, 125];[122];k_sta_bastila;NM45AABAST01115_.mp3
Good luck, my love... and may the Force be with you.;[];;[];[123];k_sta_bastila;NM45AABAST01116_.mp3
Good luck... and may the Force be with you.;[];;[];[123];k_sta_bastila;NM45AABAST01117_.mp3
The Star Forge is under assault from the entire Republic fleet! If I don't use my Battle Meditation to turn the tide, Admiral Dodonna's capital ships will destroy the Star Forge.;[];;[127];[None];k_sta_bastila;NM45AABAST01166_.mp3
I have to stay here in the command center so that I can best use my Battle Meditation against our enemy. If I don't the Star Forge will be lost!;[];;[128];[126];k_sta_bastila;NM45AABAST01167_.mp3
You must go to face Malak without me. Find him, kill him and reclaim the title of Dark Lord of the Sith!;[];;[];[127];k_sta_bastila;NM45AABAST01168_.mp3
Revan - I knew you'd come for me.;[];First dialog;[130, 133, 135];[None];k_sta_bastila;NM45AABAST01165_.mp3
I'm <FullName> now, Bastila. Revan is no more.;[];;[131];[129];k_sta_bastila;
Sadly, I know this is true. Had you reclaimed the power of your previous identity I would be your apprentice, not Malak's. But you rejected the dark side.;[{'Bastila': 'Pause'}];;[132];[130];k_sta_bastila;NM45AABAST01006_.mp3
Now you must pay the price. Here on the Star Forge the power of the dark side is at its strongest. This time you will not defeat me!;[{'Bastila': 'Talk_Forceful'}, {'Bastila': 'Pause'}];;[];[131, 134, 136];k_sta_bastila;NM45AABAST01007_.mp3
I'll never give up on you, Bastila. I know you can still be saved.;[];;[134];[129];k_sta_bastila;
You are wasting your time. I have seen the Jedi for what they are: weak and afraid. The Sith are the true Masters of the Force. You have forgotten that lesson, Revan.;[];;[132];[133];k_sta_bastila;NM45AABAST01009_.mp3
You can't escape, Bastila! Wherever you run I'll hunt you down!;[{'Player': 'Talk_Forceful'}];;[136];[129];k_sta_bastila;
I have no doubt of that. I was no match for you in the Temple, but when I fled I knew you would follow me here.;[];;[132];[135];k_sta_bastila;NM45AABAST01011_.mp3
I see now why Malak followed you. Even though you are only a shell of your former self, you are still a formidable opponent.;[];Second dialog (init after 100 points of damage dealt);[138];[None];k_sta_bastila;NM45AABAST01012_.mp3
I can't even imagine the power you must have wielded when you were the Dark Lord. You were a fool to give it all up and follow the light side.;[];;[139, 151, 152];[137];k_sta_bastila;NM45AABAST01013_.mp3
I am as strong in the light as I ever was following the dark side.;[];;[140];[138];k_sta_bastila;
The dark side has made me stronger than I ever was before! I have a greater command of the Force than all but the most powerful Jedi Masters.;[];;[141];[139, 151];k_sta_bastila;NM45AABAST01015_.mp3
As Malak teaches me the greatest secrets of the Sith, I will unlock more of my potential. Eventually there will be no limit to what I can accomplish with the Force!;[];;[142, 147, 149];[140];k_sta_bastila;NM45AABAST01016_.mp3
Malak will never let you become that powerful. He will kill you first.;[];;[143];[141];k_sta_bastila;
Have you forgotten the ways of the Sith already, Revan? Eventually I will challenge my Master. If I am worthy he will die by my hand and I will become the new Sith Master.;[];;[144];[142];k_sta_bastila;NM45AABAST01018_.mp3
Then I will take on my own apprentice and the cycle will begin again. This is the way of the Sith, it is how we assure our leaders are always the strongest and most worthy!;[];;[145, 147];[143, 150];k_sta_bastila;NM45AABAST01019_.mp3
You're dooming yourself to an endless cycle of death and betrayal.;[];;[146];[144];k_sta_bastila;
No, Revan, it is you who are doomed!;[{'Bastila': 'Talk_Forceful'}];;[];[145];k_sta_bastila;NM45AABAST01021_.mp3
I won't let that happen! I'll kill you first!;[{'Player': 'Talk_Forceful'}];;[148];[144, 141];k_sta_bastila;
No, Revan. You are the one who will die here!;[{'Bastila': 'Talk_Forceful'}];;[];[147];k_sta_bastila;NM45AABAST01025_.mp3
You will accomplish death and destruction with the dark side, nothing else.;[];;[150];[141];k_sta_bastila;
Jedi propaganda. The dark side is only a tool, and Malak will train me in its use. Eventually I will surpass my Master and challenge him. If I am worthy he will die by my hand.;[];;[144];[149];k_sta_bastila;NM45AABAST01023_.mp3
You've been consumed by the dark side, Bastila. Can't you see it's destroying you?;[];;[140];[138];k_sta_bastila;
I'm still strong enough to defeat you, Bastila!;[{'Player': 'Talk_Forceful'}];;[153];[138];k_sta_bastila;
Then it's time for you to prove it!;[{'Bastila': 'Talk_Forceful'}];;[];[152];k_sta_bastila;NM45AABAST01028_.mp3
You are growing weary, I can sense it! Your strength falters, the light side is failing you while the power of the Star Forge re-energizes me! Soon this will all be over!;[];Third dialog (init after second 100 points of damage dealt);[155, 157, 163, 165];[None];k_sta_bastila;NM45AABAST01029_.mp3
I have not faltered, Bastila. You have been misled by the dark side.;[];;[156];[154];k_sta_bastila;
The dark side will always triumph over the light! Malak has assured me of victory! You can't defeat me here on the Star Forge! YOU CAN'T!;[{'Bastila': 'Talk_Forceful'}];;[];[155, 165];k_sta_bastila;NM45AABAST01031_.mp3
Then strike me down, Bastila. I won't defend myself.;[{'Player': 'Talk_Sad'}];;[158];[154];k_sta_bastila;
What type of trick is this?;[];;[159, 161, 162];[157];k_sta_bastila;NM45AABAST01036_.mp3
Remember what you once were, Bastila. A Jedi would never strike down a defenseless opponent.;[];;[160];[158];k_sta_bastila;
I am a Sith apprentice now. You place too much faith in what I used to be... and for that you shall pay!;[{'Bastila': 'Talk_Forceful'}];;[];[159, 161, 162];k_sta_bastila;NM45AABAST01039_.mp3
You are not evil, Bastila. You will not strike down a defenseless opponent.;[];;[160];[158];k_sta_bastila;
We meant something to each other, once. I don't believe you will strike me down.;[];;[160];[158];k_sta_bastila;
Your emotions get the better of you, Bastila. Remember the Jedi code.;[];;[164];[154];k_sta_bastila;
You dare spew those Jedi lies in my face? You will die screaming, Revan!;[{'Bastila': 'Talk_Forceful'}];;[];[163];k_sta_bastila;NM45AABAST01033_.mp3
You are the one growing weak, Bastila. I hear the desperation in your voice!;[{'Player': 'Talk_Forceful'}];;[156];[154];k_sta_bastila;
No, this is not possible! You have rejected the dark side, you are a weak and pathetic servant of the light! How can you still stand against me? Why can't I defeat you?;[];Fourth dialog (init when dropped to 1 hit point);[167, 236, 237];[None];k_sta_bastila;NM45AABAST01041_.mp3
Now you see the dark side is not stronger than the light.;[];;[168];[166];k_sta_bastila;
Yes, I see you speak the truth. I am no match for you. Please, for the sake of what we once shared, do not make me suffer. End my life quickly. There is no other way.;[{'Bastila': 'Talk_Sad'}];;[169, 209, 235];[167, 236, 237];k_sta_bastila;NM45AABAST01044_.mp3
I could never kill you, Bastila.;[];;[170];[168];k_sta_bastila;
What other choice do you have? I have fallen to the dark side, I am the apprentice to the Dark Lord himself. You cannot let me live.;[];;[171, 216, 227];[169, 235];k_sta_bastila;NM45AABAST01047_.mp3
You can reject the dark side, Bastila. Return to the light.;[];;[172];[170];k_sta_bastila;
No... I'm not strong enough. There is too much anger inside me now. Too much hatred and fear. I can no longer find peace in the Force.;[{'Bastila': 'Talk_Sad'}];;[173, 209, 216, 227, 229];[171];k_sta_bastila;NM45AABAST01049_.mp3
[Persuade] Use our bond, then. Take your strength from me.;[];;[174, 228];[172];k_sta_bastila;
[Success] You... always had more strength than I did. I told you that. I felt so... helpless before your destiny.;[];;[175];[173];k_sta_bastila;NM45AABAST01051_.mp3
You were Revan and I couldn't tell you... it was agonizing! Even worse when I began to... feel closer to you. I despised myself for it.;[{'Bastila': 'Talk_Sad'}];;[176];[174];k_sta_bastila;NM45AABAST01052_.mp3
And even now I... feel your strength. It... does help me. Thank you, I think I can face the end, now. If you are the one to end it for me.;[{'Bastila': 'Talk_Sad'}];;[177, 181, 209, 213, 216, 227];[175];k_sta_bastila;NM45AABAST01053_.mp3
[Persuade] I love you, Bastila. I can't abandon you, ever.;[];;[178, 211];[176, 215, 223, 226, 233];k_sta_bastila;
[Success] You... love me? Heh. I... there was a time I yearned for and yet dreaded to hear those words. I loved you, too, but I could never... face who you were.;[];;[179];[177];k_sta_bastila;NM45AABAST01108_.mp3
Malak knew how I felt. Any part of the light that was within me would be extinguished when I killed you.;[];;[180];[178];k_sta_bastila;NM45AABAST01109_.mp3
But what good is love? It cannot save me from the sea of blackness I am drowning in. I have betrayed everything I ever believed in! How can I atone for that?;[{'Bastila': 'Talk_Pleading'}];;[181, 209];[179];k_sta_bastila;NM45AABAST01110_.mp3
Help us defeat the Sith, Bastila. This will atone for what you have done.;[];;[182];[180, 212, 215, 176, 221, 223, 226, 233];k_sta_bastila;
Yes, I... could join you in your battle against the Dark Lord. That alone would not make up for all I have done, yet... it would be a step in the right direction.;[{'Bastila': 'Talk_Sad'}];;[183];[181];k_sta_bastila;NM45AABAST01065_.mp3
But how would you be able to trust me? How do you know I wouldn't turn on you when you faced Darth Malak? How do you know the dark side wouldn't make me betray you again?;[{'Bastila': 'Talk_Pleading'}];;[184, 207];[182];k_sta_bastila;NM45AABAST01066_.mp3
I trust you enough to leave myself open to your attack, Bastila.;[];;[185];[183];k_sta_bastila;
You play a dangerous game. Are you certain you wish to take this risk? I could end your life and gain Malak's favor with a single stroke of my lightsaber.;[];;[186, 206, 207];[184];k_sta_bastila;NM45AABAST01068_.mp3
You won't, Bastila. Because I love you and I believe in you.;[];;[187, 205];[185];k_sta_bastila;
You are brave... and some would say foolish. But you are also right. The dark side has not wholly consumed me. I cannot raise my blade against you.;[{'Bastila': 'Talk_Sad'}];Player has high enough conversion score from dialog;[188, 194];[186, 206];k_sta_bastila;NM45AABAST01071_.mp3
You will go on to defeat Malak, of this I have little doubt. You will have gone from being the Sith Lord, himself, to the savior of our galaxy.;[];;[189, 199];[187];k_sta_bastila;NM45AABAST01072_.mp3
And... and you said you loved me. This may not be the best time to say it, but...;[];;[190];[188];k_sta_bastila;NM45AABAST01073_.mp3
I love you, too. With all my heart.;[];;[191];[189, 201];k_sta_bastila;NM45AABAST01074_.mp3
You aren't afraid to love anymore?;[];;[192];[190];k_sta_bastila;
After this? No, nothing could make me feel safer than to be loved by you.;[];;[193];[191];k_sta_bastila;NM45AABAST01076_.mp3
You should go. Malak awaits. This isn't over, yet... for any of us.;[];;[194];[192, 203];k_sta_bastila;NM45AABAST01083_.mp3
I should stay here, though. If we face Malak I am afraid his dark presence will overwhelm me. It would not be wise to expose myself to such temptation.;[];;[195, 197];[193, 187];k_sta_bastila;NM45AABAST01084_.mp3
Bastila, I want you at my side when I face the Dark Lord.;[];;[196];[194];k_sta_bastila;
I'm sorry, but the risk is too great. I am not wholly free of the dark side's shadow. Not yet. But you are more than a match for the Dark Lord. I understand that now.;[{'Bastila': 'Talk_Sad'}];;[122];[195];k_sta_bastila;NM45AABAST01086_.mp3
You could use your Battle Meditation to aid the Republic fleet.;[];;[198];[194];k_sta_bastila;
Yes, that would be for the best. You don't need me to defeat Malak, anyway. Now I understand that a true Jedi is a match for any Sith. Even the Dark Lord himself.;[];;[122];[197];k_sta_bastila;NM45AABAST01088_.mp3
